 15736 0  58549      -99      6  1 16950000 1 17601130 0  3
 10978 0  60104      -99     13  1 16930000 1 17610517 0  7
 12928 0  67434      -99     17  1 16950000 1 17381126 0  0
 19520 0  91530 17561127     54  2 16990327 0 17591017 0  0
 34443 0 155487 17810107     54  2 16990327 0 17591017 0  0
  4008 1     82      -99     87  1 16410000 1 17001121 0  0
  9098 0  47551 17031126     90  2 16820503 0 17641018 0  1
  9690 0  45815 17500104     90  2 16820503 0 17641018 0 10
  1211 0  10999 16871103     95  2 16440905 0 17171118 0 11
  6604 0     94 17040304     95  2 16440905 0 17171118 0  0
  6960 0  42468 17081220    100  2 16760502 0 17440803 0  6
 11570 0     93 17530412    100  2 16760502 0 17440803 0  2
 12251 0    109 17800128    110  1 16930107 0 17211217 0  3
 10235 0  24047 17570224    119  1 16860413 0 17420622 0 15
  3800 1    108      -99    121  1 16460000 1 16801102 0  3
  2344 1    128 16990427    129  1 16510000 1 17000918 0  9
  9377 0  49218 17510316    134  1 16870330 0 17660611 0 11
  6003 0  37616      -99    135  2 16700000 1 17480326 0  0
  8642 0   8793 17291208    135  2 16700000 1 17480326 0  7
  8072 0  71798 17430306    138  1 16750000 1 17310824 0  8
 86267 0    139 17261011    140  1 16800901 0 17280606 0 11
  8715 0  53444 17030223    153  2 16760816 0 17530525 0  0
  9323 0    133 17750224    153  2 16760816 0 17530525 0  6
  2405 1    160      -99    161  2 16480000 1 17001114 0  2
  3585 1  40572 17090227    161  2 16480000 1 17001114 0 10
  6608 0  52165 17021226    162  1 16700413 0 17210111 0  7
  1091 1  71097      -99    166  1 16330718 0 17071224 0 12
  3768 1  60375 17211002    176  1 16510000 1 17090516 0  3
  8794 0    179 17180524    180  1 16800000 1 17390609 0  7
 85808 0    188 17591231    189  1 16990829 0 17491208 0 13
 11184 0  44912 17430521    205  1 16810826 0 17401101 0  2
 11573 0  42193 17381211    206  1 16870204 0 17600125 0 11
 10202 0    204 17300907    211  1 16890726 0 17520620 0 12
  2294 1    225 17140416    226  1 16510000 1 16830830 0  4
 87402 0  71997 17380507    227  1 16791028 0 17540516 0 14
  6568 0  21339 17420224    229  1 16740000 1 17430521 0 16
  9077 0   1448 17501019    231  1 16840700 0 17650327 0 16
  5829 0    225 17140416    232  1 16660000 1 17510409 0  1
 13407 0    236 17561107    240  1 16990517 0 17380129 0 14
 11937 0  82409 17541219    251  1 16890813 0 17310808 0  0
 11555 0    258 17270115    259  3 16900113 0 17601016 0  7
 16783 0  48273 17360403    259  3 16900113 0 17601016 0  1
 20934 0  83410      -99    259  3 16900113 0 17601016 0  0
  3877 1  43551 16881106    273  1 16290000 1 16871207 0  0
  1168 1  50915 16620623    285  2 16440000 1 16890805 0  0
  1601 1    284 16890805    285  2 16440000 1 16890805 0 10
  5644 0  26758 16890800    288  1 16660405 0 16890800 0  2
  5855 0  35862      -99    290  1 16700221 0 16870903 0  1
  8795 0  73982 17030118    296  2 16760000 1 17510515 0  2
  9422 0  16445 17470916    296  2 16760000 1 17510515 0  7
 11504 0    283      -99    310  2 16940116 0 17681127 0  3
 16274 0  49935      -99    310  2 16940116 0 17681127 0  4
  1597 1  40754 16710616    324  2 16440000 1 17180411 0  4
  3965 1  24666 16871221    324  2 16440000 1 17180411 0  7
  6717 0  71681 17060811    332  2 16701016 0 17091225 0  0
 10027 0    331 17480314    332  2 16701016 0 17091225 0  1
 10693 0    331 17480314    334  1 16920601 0 17770802 0  5
  3750 1    659 17261025    342  1 16490103 0 17110312 0  8
  1175 1    345 16630611    346  2 16210000 1 16840512 0  1
  1622 1   9045      -99    346  2 16210000 1 16840512 0  0
 10267 0    348 17560207    349  1 16790000 1 17410824 0  9
 12876 0    359 17270301    360  1 16930128 0 17620529 0  4
  4466 0    367 17031005    368  1 16620329 0 17121227 0 13
  8254 0  36881 17530210    369  1 16810120 0 17100429 0  5
  9512 0   6409 17320510    370  1 16830909 0 17470130 0 10
 11823 0  10395 17480723    376  1 16951101 0 17780901 0 13
  7984 0  37996 17570526    379  1 16790000 1 17720415 0  9
 11368 0  53187 17600608    381  1 16890000 1 17141007 0  2
 14713 0    387 17560214    388  1 16910410 0 17461230 0  3
  1627 1   1774 17090212    394  1 16370000 1 17001228 0  0
  2557 1    401 17081205    402  1 16540000 1 17240331 0  0
  7472 0    406 17260226    407  1 16740506 0 17540706 0  8
 11931 0  67270 17451211    408  2 16960416 0 17671108 0  6
 24892 0 125910 17720711    408  2 16960416 0 17671108 0  0
  1758 1    521 17081214    428  1 16480000 1 17260809 0 12
  3462 1  39961      -99    429  1 16460000 1 16960618 0  4
 10985 0  17458      -99    438  3 16870707 0 17561001 0  2
 14798 0  72111      -99    438  3 16870707 0 17561001 0  0
 86090 0  86541 17800920    438  3 16870707 0 17561001 0  0
 12070 0    942 17440331    439  2 16910430 0 17510816 0  9
 24517 0  37555 17540415    439  2 16910430 0 17510816 0  0
  9784 0  51308      -99    441  2 16850000 1 17580821 0  0
 10708 0  17884 17310415    441  2 16850000 1 17580821 0  9
 10534 0    437 17440404    443  1 16890410 0 17170501 0  5
 12696 0    437 17440404    449  1 16961115 0 17240803 0  5
  9907 0  59172 17260302    455  2 16811227 0 17321009 0  2
 16097 0    437 17440404    455  2 16811227 0 17321009 0  0
 12842 0    440 17311009    456  3 16970330 0 17591113 0  7
 19454 0  91872 17440805    456  3 16970330 0 17591113 0  3
 24533 0 123458 17540822    456  3 16970330 0 17591113 0  0
  9775 0    463 17260228    464  1 16860000 1 17440714 0 13
  3579 1  40788      -99    480  1 16390000 1 17001210 0  6
